id,x,y,area,eccentricity,texture,intensityMean,intensityStd,neighborDensity,phenotypeScore
c01,0.22,0.28,48,0.32,0.41,0.62,0.18,0.25,44
c02,0.41,0.35,62,0.55,0.72,0.38,0.28,0.61,71
c03,0.58,0.22,39,0.28,0.33,0.71,0.14,0.18,36
c04,0.71,0.48,55,0.47,0.58,0.45,0.22,0.44,58
c05,0.33,0.62,71,0.61,0.81,0.29,0.31,0.72,78
c06,0.52,0.71,44,0.35,0.39,0.66,0.16,0.29,42
c07,0.18,0.55,58,0.52,0.66,0.41,0.25,0.53,64
c08,0.79,0.33,36,0.24,0.29,0.74,0.12,0.15,31
c09,0.64,0.68,67,0.58,0.75,0.34,0.29,0.66,74
c10,0.45,0.49,51,0.41,0.48,0.55,0.19,0.37,51
c11,0.27,0.41,43,0.30,0.36,0.68,0.15,0.22,39
c12,0.86,0.58,60,0.50,0.69,0.40,0.26,0.57,67
